type;geometry/type;geometry/coordinates/0;geometry/coordinates/1;properties/campaign;properties/tubeId;properties/resultId;properties/value;properties/link;properties/group;properties/city;properties/height;properties/trafic;properties/info;properties/ostation;properties/remark;properties/address;properties/country;properties/year;properties/institut;properties/start;properties/stop
Feature;Point;14.5207291;46.0507449;DUH;;;24.80;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Šuštarjevo nabrežje;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.502823;46.0507747;DUH;;;34.60;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;križišèe Slovenska Šubièeva;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.502823;46.0507747;DUH;;;28.90;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;križišèe Slovenska Šubièeva;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5108292;46.0510532;DUH;;;24.50;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Kopitarjeva ulica 2-6;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5331644;46.0514872;DUH;;;22.00;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Kosovelova ulica, Ljubljana;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5059192;46.0515209;DUH;;;20.80;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Prešernov trg;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4972211;46.0520118;DUH;;;31.90;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Bleiweisova cesta;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5208467;46.0522515;DUH;;;32.50;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Zaloška 2;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5122659;46.0522868;DUH;;;23.70;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Trubarjeva 50;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4888979;46.0524593;DUH;;;17.70;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Cesta 27. aprila;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
